im_name,accuracy,psnr,snr
Venus_f_0_15_16.png,77.93,17.58,7.07
Venus_f_0_15_17.png,12.58,13.11,2.6
Venus_f_0_15_18.png,95.42,22.67,12.16
Venus_f_0_15_2.png,95.42,22.67,12.16
Venus_f_0_15_3.png,95.42,22.67,12.16
Venus_f_0_15_4.png,95.42,22.67,12.16
Venus_f_0_15_5.png,95.42,22.67,12.16
Venus_f_0_15_6.png,95.42,22.67,12.16
Venus_f_0_15_7.png,95.42,22.67,12.16
Venus_f_0_15_8.png,95.42,22.67,12.16
Venus_f_0_15_9.png,95.42,22.67,12.16
Venus_f_0_16_0.png,95.42,22.67,12.16
Venus_f_0_16_1.png,95.42,22.67,12.16
Venus_f_0_16_10.png,95.42,22.67,12.16
Venus_f_0_16_11.png,95.42,22.67,12.16
Venus_f_0_16_12.png,95.42,22.67,12.16
Venus_f_0_16_13.png,95.47,22.67,12.16
Venus_f_0_16_14.png,95.46,22.66,12.15
Venus_f_0_16_15.png,95.74,22.77,12.26
Venus_f_0_16_16.png,77.93,17.58,7.07
Venus_f_0_16_17.png,12.58,13.11,2.6
Venus_f_0_16_18.png,95.42,22.67,12.16
Venus_f_0_16_2.png,95.42,22.67,12.16
Venus_f_0_16_3.png,95.42,22.67,12.16
Venus_f_0_16_4.png,95.42,22.67,12.16
Venus_f_0_16_5.png,95.42,22.67,12.16
Venus_f_0_16_6.png,95.42,22.67,12.16
Venus_f_0_16_7.png,95.42,22.67,12.16
Venus_f_0_16_8.png,95.42,22.67,12.16
Venus_f_0_16_9.png,95.42,22.67,12.16
Venus_f_0_17_0.png,95.42,22.67,12.16
Venus_f_0_17_1.png,95.42,22.67,12.16
Venus_f_0_17_10.png,95.42,22.67,12.16
Venus_f_0_17_11.png,95.42,22.67,12.16
Venus_f_0_17_12.png,95.42,22.67,12.16
Venus_f_0_17_13.png,95.47,22.67,12.16
Venus_f_0_17_14.png,95.46,22.66,12.15
Venus_f_0_17_15.png,95.74,22.77,12.26
Venus_f_0_17_16.png,77.93,17.58,7.07
Venus_f_0_17_17.png,12.58,13.11,2.6
Venus_f_0_17_18.png,95.42,22.67,12.16
Venus_f_0_17_2.png,95.42,22.67,12.16
Venus_f_0_17_3.png,95.42,22.67,12.16
Venus_f_0_17_4.png,95.42,22.67,12.16
Venus_f_0_17_5.png,95.42,22.67,12.16
Venus_f_0_17_6.png,95.42,22.67,12.16
Venus_f_0_17_7.png,95.42,22.67,12.16
Venus_f_0_17_8.png,95.42,22.67,12.16
Venus_f_0_17_9.png,95.42,22.67,12.16
Venus_f_0_18_0.png,95.42,22.67,12.16
Venus_f_0_18_1.png,95.42,22.67,12.16
Venus_f_0_18_10.png,95.42,22.67,12.16
Venus_f_0_18_11.png,95.42,22.67,12.16
Venus_f_0_18_12.png,95.42,22.67,12.16
Venus_f_0_18_13.png,95.47,22.67,12.16
Venus_f_0_18_14.png,95.46,22.66,12.15
Venus_f_0_18_15.png,95.74,22.77,12.26
Venus_f_0_18_16.png,77.93,17.58,7.07
Venus_f_0_18_17.png,12.58,13.11,2.6
Venus_f_0_18_18.png,95.42,22.67,12.16
Venus_f_0_18_2.png,95.42,22.67,12.16
Venus_f_0_18_3.png,95.42,22.67,12.16
Venus_f_0_18_4.png,95.42,22.67,12.16
Venus_f_0_18_5.png,95.42,22.67,12.16
Venus_f_0_18_6.png,95.42,22.67,12.16
Venus_f_0_18_7.png,95.42,22.67,12.16
Venus_f_0_18_8.png,95.42,22.67,12.16
Venus_f_0_18_9.png,95.42,22.67,12.16
Venus_f_0_19_0.png,95.42,22.67,12.16
Venus_f_0_19_1.png,95.42,22.67,12.16
